id,created_at,lang,lang_polyglot,retweeted,hashtags,company,user_screen_name,tweet_norm,profile_norm,auto_for,auto_against,auto_neutral,stance,confidence
500924826563780608,2014-08-17 08:39:20+00:00,en,en,False,,bhp,ryanbedwards,de-diversification and the potential splitting of bhp billiton http://t.co/xdaZPbUafR,"economist @Dartmouth focused on development , labor , the environment , and indonesia . ex @Stanford @pmc_gov_au . dad . aussie-irish .",True,False,False,for,auto
430158991285448704,2014-02-03 02:01:10+00:00,en,en,False,"asc14,m4",bhp,LeanneMcKnoulty,jacqui mcgill bhp billiton : science plays an important role in inspiring and enriching communities linking industry to community slo_hash slo_hash,encouraging and enabling sustainable business and living through compelling and concise communication,True,False,False,for,auto
440987571779162112,2014-03-04 23:10:04+00:00,en,en,False,climate,bhp,climateinstitut,"mt @jconnoroz : bhp ceo calls for "" appropriate "" carbon pricing , emphasises efficiency , ccs & adaptation . http://t.co/3SqcXnk1Nh slo_hash","a non-partisan , independent research organisation that works with community , business and government to drive innovative and effective climate change solutions",True,False,False,for,auto
943328321537896449,2017-12-20 03:52:52+00:00,en,en,False,,bhp,ComCouncil,"corporate leadership that's shaking things up around the world . bhp threads social and environmental awareness into it's policy and strategy - and acts on it . b . h . p . billiton , acknowledging climate change , to quit coal group https://t.co/Lo0Qdw99is",community council for australia . an independent peak body for a strong & valued not for profit sector . ceo @DavidCrosbie2 chair @TimCostello,True,False,False,for,auto
946879472158105606,2017-12-29 23:03:52+00:00,en,en,False,,bhp,LeadersinHeels,"happy new year , ladies ! these pages from our phenomenal woman planner are designed to help you set your big goals and lay out a plan to achieve those goals . we're gifting them to all our newsletter subscribers , so sign up by 8am , 1 jan slo_year ( aest ) . https://t.co/olpqdSr0wA https://t.co/GfbVeP2bhp",an online community equipping slo_hash with practical tools to actively create success on their terms . dream . define . do . https://t.co/nI9IKperMB,True,False,False,for,auto
759565418147172352,2016-07-31 01:44:42+00:00,en,en,False,,bhp,Hossary,"drones , robots offer vision of mining's future : bhp billiton is trialing a technology with the potential to c ... https://t.co/CmhIKAfKc7",studying human beings to see what makes us tick is a constant obsession . if i ever figure it out i'll let you know ! all tweets are my personal opinion .,True,False,False,for,auto
501782663632404480,2014-08-19 17:28:04+00:00,en,en,False,NatashaCann,bhp,miningmentor,"slo_hash potash prices , oversupply scaring potential jansen partners : bhp : chief executive o ... http://t.co/WXV1dTZR8C @natasha_cann","slo_hash is national award winning slo_hash , 4th generation slo_hash & slo_hash slo_hash slo_hash also @natashadotmedia @miningmums @ninkipp @natashacann",True,False,False,for,auto
867267679765266432,2017-05-24 06:35:02+00:00,en,en,False,,bhp,HotRubbleMining,"metallurgist wanted to maximise process efficiencies for the surface processing operation at bhp's olympic dam , https://t.co/l41ZqNrorN","http://t.co/PhDjfD4R is a website dedicated to south australian mining careers , training and the development of workforce in sa",True,False,False,for,auto
466409395371646976,2014-05-14 02:47:19+00:00,en,en,False,NatashaCann,bhp,Safety_Dance_,slo_hash andrew mackenzie discusses sales and productivity at mining conference : bhp billito ... http://t.co/CzTDC4Vzjz @natasha_cann,nm cann pty ltd - safety dance the safety dance is a simple sequence of movements that mine workers follow to ensure they are safely attired for work .,True,False,False,for,auto
852401017656401921,2017-04-13 06:00:14+00:00,en,en,False,,bhp,HotRubbleMining,"project manager wanted to provide leadership , management expertise & direction to bhp's olympic dam team , https://t.co/nvXxbDaXJA","http://t.co/PhDjfD4R is a website dedicated to south australian mining careers , training and the development of workforce in sa",True,False,False,for,auto
